2023-04-21 09:02:32,098-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-21 09:02:43,560-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-21 09:06:31,566-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-21 14:12:59,533-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 08:55:04,463-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 08:55:17,424-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 08:55:19,264-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 08:55:23,106-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 08:56:26,977-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 09:24:57,987-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 09:43:14,905-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 09:43:30,180-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 09:43:31,951-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-24 11:23:11,942-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
